Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;1;null;false
0:00:03;1;null;false
0:00:04;1;null;false
0:00:05;1;null;false
0:00:06;1;null;false
0:00:07;1;null;false
0:00:08;48;8386.081081081082;false
0:00:09;48;8390.078947368422;false
0:00:10;48;8390.078947368422;false
0:00:11;74;8334.9;false
0:00:12;87;7030.117647058823;false
0:00:13;87;6870.460526315789;false
0:00:14;87;6870.460526315789;false
0:00:15;118;6566.566037735849;false
0:00:16;118;6405.8421052631575;false
0:00:17;151;5997.621212121212;false
0:00:18;163;5674.311258278146;false
0:00:19;178;5466.515337423313;false
0:00:20;199;5218.318681318681;false
0:00:21;209;5059.38578680203;false
0:00:22;233;4811.737556561086;false
0:00:23;244;4684.2415254237285;false
0:00:24;271;4479.3115384615385;false
0:00:25;299;4309.00354609929;false
0:00:26;314;4200.41196013289;false
0:00:27;342;4088.5541795665636;false
0:00:28;356;4002.6588235294116;false
0:00:29;373;3865.8455284552847;false
0:00:30;400;3789.121447028424;false
0:00:31;424;3687.629539951574;false
0:00:32;451;3607.8577981651374;false
0:00:33;464;3550.945054945055;false
0:00:34;487;3457.9156378600824;false
0:00:35;523;3376.0994152046783;false
0:00:36;553;3303.398886827458;false
0:00:37;568;3237.856637168142;false
0:00:38;603;3166.1176470588234;false
0:00:39;628;3108.7942122186496;false
0:00:40;654;3057.6692426584236;false
0:00:41;682;2997.0382916053018;false
0:00:42;707;2947.587818696884;false
0:00:43;735;2906.3920765027324;false
0:00:44;768;2860.864229765013;false
0:00:45;804;2828.582487309645;false
0:00:46;829;2786.3853658536586;false
0:00:47;862;2750.195294117647;false
0:00:48;882;2717.957810718358;false
0:00:49;909;2687.6762430939225;false
0:00:50;936;2659.6773847802788;false
0:00:51;966;2628.686010362694;false
0:00:52;998;2602.6636455186303;false
0:00:53;1023;2579.977473065622;false
0:00:54;1058;2556.7733333333335;false
0:00:55;1086;2532.701202590194;false
0:00:56;1115;2512.547833935018;false
0:00:57;1144;2491.2423178226513;false
0:00:58;1184;2471.5667808219177;false
0:00:59;1206;2453.502923976608;false
0:01:00;1236;2433.699021207178;false
0:01:01;1263;2415.6759332803813;false
0:01:02;1292;2400.4614785992217;false
0:01:03;1319;2385.515589353612;false
0:01:04;1352;2369.9538690476193;false
0:01:05;1381;2354.110465116279;false
0:01:06;1406;2342.7016416845113;false
0:01:07;1436;2327.916259595255;false
0:01:08;1468;2315.2428180574557;false
0:01:09;1499;2304.657276995305;false
0:01:10;1532;2293.6396574440055;false
0:01:11;1556;2280.3971631205673;false
0:01:12;1598;2269.8252058264725;false
0:01:13;1614;2259.4487895716948;false
0:01:14;1645;2251.590575275398;false
0:01:15;1672;2240.699221090473;false
0:01:16;1707;2230.39988221437;false
0:01:17;1740;2220.108092485549;false
0:01:18;1763;2212.12172923777;false
0:01:19;1799;2203.8618568232664;false
0:01:20;1819;2197.045228902372;false
0:01:21;1850;2187.962039045553;false
0:01:22;1876;2179.7801494130204;false
0:01:23;1911;2172.2587926509186;false
0:01:24;1941;2165.3753226639133;false
0:01:25;1965;2160.1606323304436;false
0:01:26;1991;2154.122736418511;false
0:01:27;2025;2146.7828882294757;false
0:01:28;2051;2140.806341463415;false
0:01:29;2087;2134.9850818094324;false
0:01:30;2109;2129.2747982914098;false
0:01:31;2146;2122.5334268349698;false
0:01:32;2172;2117.4843173431736;false
0:01:33;2199;2114.0674874601004;false
0:01:34;2230;2108.9198559207566;false
0:01:35;2255;2103.8004444444446;false
0:01:36;2287;2097.2989059080965;false
0:01:37;2313;2093.989172802079;false
0:01:38;2350;2088.9786142001713;false
0:01:39;2374;2084.4203633291086;false
0:01:40;2414;2078.655976676385;false
0:01:41;2434;2074.4555555555557;false
0:01:42;2459;2071.1283618581906;false
0:01:43;2492;2065.9239742558325;false
0:01:44;2498;2065.3079084704937;false
0:01:45;2515;2072.4101034208434;false
0:01:46;2547;2078.051948051948;false
0:01:47;2573;2076.3741734733567;false
0:01:48;2600;2073.7158828064767;false
0:01:49;2629;2072.212652439024;false
