Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;45;2379.5;false
0:00:03;217;740.2807881773399;false
0:00:04;390;535.8861788617886;false
0:00:05;580;457.8759124087591;false
0:00:06;787;394.890625;false
0:00:07;1011;354.06619859578734;false
0:00:08;1218;335.9042372881356;false
0:00:09;1480;312.0413223140496;false
0:00:10;1808;282.71051152332774;false
0:00:11;2162;258.7912190565157;false
0:00:12;2580;238.0788643533123;false
0:00:13;2920;225.4254507628294;false
0:00:14;3529;201.60355199083358;false
0:00:15;4199;180.88082652570878;false
0:00:16;4903;164.88020512820512;false
0:00:17;5540;154.15745454545456;false
0:00:18;6259;144.93271238156416;false
0:00:19;7145;133.92978753341777;false
0:00:20;8084;124.5792614696009;false
0:00:21;8816;119.88317757009345;false
0:00:22;9739;113.60266061668557;false
0:00:23;10669;108.26920545369065;false
0:00:24;11545;104.31203824424163;false
0:00:25;12426;100.90532258064516;false
0:00:26;13380;97.38581910751722;false
0:00:27;14549;92.99448846021357;false
0:00:28;15701;89.33541919417662;false
0:00:29;16933;85.76241785566278;false
0:00:30;18060;83.10077089457046;false
0:00:31;19306;80.3304623047787;false
0:00:32;20533;77.91145477607571;false
0:00:33;21623;76.28368169810446;false
0:00:34;22920;74.15020765027323;false
0:00:35;24230;72.14709773441376;false
0:00:36;25549;70.36300188205772;false
0:00:37;26691;69.18134403962328;false
0:00:38;28009;67.69188145711936;false
0:00:39;29392;66.18744037072373;false
0:00:40;30690;64.99667232154509;false
0:00:41;32163;63.569418065199116;false
0:00:42;33633;62.22813337302769;false
0:00:43;34933;61.376662462737904;false
0:00:44;36427;60.19801027839613;false
0:00:45;37967;59.039047669268086;false
0:00:46;39456;58.07351038733734;false
0:00:47;41063;57.00075572891272;false
0:00:48;42590;56.09574843122048;false
0:00:49;44271;55.09581515226877;false
0:00:50;45836;54.29074312667875;false
0:00:51;47519;53.398133715296794;false
0:00:52;49152;52.59658732259575;false
0:00:53;50935;51.746949602122015;false
0:00:54;52629;51.00425952688826;false
0:00:55;54556;50.109205312591726;false
0:00:56;56481;49.26345990365542;false
0:00:57;58507;48.40386194157488;false
0:00:58;60441;47.67157828512773;false
0:00:59;62406;46.94305045614148;false
