Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;1;null;false
0:00:03;1;null;false
0:00:04;1;null;false
0:00:05;1;null;false
0:00:06;1;null;false
0:00:07;1;null;false
0:00:08;50;7938.441176470588;false
0:00:09;50;7962.8;false
0:00:10;50;7962.8;false
0:00:11;78;7695.0;false
0:00:12;81;6656.85;false
0:00:13;83;6611.829268292683;false
0:00:14;118;5852.675925925926;false
0:00:15;122;5530.5327868852455;false
0:00:16;153;5282.970588235294;false
0:00:17;162;4894.167701863354;false
0:00:18;194;4585.125;false
0:00:19;208;4345.188405797101;false
0:00:20;238;4125.447826086956;false
0:00:21;254;3949.281746031746;false
0:00:22;288;3733.056338028169;false
0:00:23;308;3653.6454849498327;false
0:00:24;339;3510.4451219512193;false
0:00:25;362;3367.5055555555555;false
0:00:26;393;3264.5546875;false
0:00:27;417;3146.1759036144576;false
0:00:28;449;3049.8966292134833;false
0:00:29;477;2983.32059447983;false
0:00:30;499;2923.122736418511;false
0:00:31;537;2851.192452830189;false
0:00:32;566;2791.9964157706095;false
0:00:33;596;2735.874363327674;false
0:00:34;619;2686.8624595469255;false
0:00:35;657;2641.408037094281;false
0:00:36;681;2597.9586410635156;false
0:00:37;714;2559.988684582744;false
0:00:38;739;2524.1650879566982;false
0:00:39;767;2495.4849673202616;false
0:00:40;800;2463.407547169811;false
0:00:41;834;2433.0145278450364;false
0:00:42;857;2408.0877192982457;false
0:00:43;893;2380.4672686230247;false
0:00:44;924;2353.8152173913045;false
0:00:45;960;2333.8901795142556;false
0:00:46;981;2316.6020512820514;false
0:00:47;997;2309.79696969697;false
0:00:48;1029;2310.087684729064;false
0:00:49;1056;2300.5763358778627;false
0:00:50;1089;2282.421686746988;false
0:00:51;1116;2267.062274368231;false
0:00:52;1135;2253.3198237885463;false
0:00:53;1175;2235.7476475620188;false
0:00:54;1206;2221.4415692821367;false
0:00:55;1237;2208.9934800326;false
0:00:56;1268;2196.296178343949;false
0:00:57;1293;2183.695652173913;false
0:00:58;1327;2172.248291571754;false
0:00:59;1358;2160.373422420193;false
0:01:00;1384;2148.2859216255442;false
0:01:01;1413;2137.5195173882184;false
0:01:02;1443;2128.1564673157163;false
0:01:03;1471;2118.7438692098094;false
0:01:04;1510;2107.7393333333334;false
0:01:05;1533;2099.6725490196077;false
0:01:06;1571;2089.852752880922;false
0:01:07;1592;2083.568367989918;false
0:01:08;1628;2074.871684145589;false
0:01:09;1657;2066.9418534221686;false
0:01:10;1693;2058.779429250892;false
0:01:11;1721;2052.5821157218;false
0:01:12;1751;2045.1727898966706;false
0:01:13;1778;2038.3197969543148;false
0:01:14;1813;2031.5813436979456;false
0:01:15;1838;2025.8760917030568;false
0:01:16;1876;2019.1308310991958;false
0:01:17;1904;2012.8433544303798;false
0:01:18;1929;2009.3645833333333;false
0:01:19;1954;2003.720286885246;false
0:01:20;1988;1997.9848637739658;false
0:01:21;2022;1992.133862171542;false
0:01:22;2048;1987.7010763209394;false
0:01:23;2077;1982.8187078109931;false
0:01:24;2110;1977.2952064546748;false
0:01:25;2138;1972.8632958801497;false
0:01:26;2173;1968.8253234750462;false
0:01:27;2196;1965.2988138686133;false
0:01:28;2228;1960.2096991468343;false
0:01:29;2263;1955.4031900753212;false
0:01:30;2294;1951.5968517708789;false
0:01:31;2325;1947.027610008628;false
0:01:32;2353;1943.0787234042552;false
0:01:33;2388;1939.5717290702567;false
0:01:34;2412;1935.728518057285;false
0:01:35;2443;1931.704918032787;false
0:01:36;2480;1928.4619433198382;false
0:01:37;2519;1924.6976;false
0:01:38;2535;1921.6477093206952;false
0:01:39;2573;1918.4609679937548;false
0:01:40;2596;1915.763025858742;false
0:01:41;2622;1912.7101947308133;false
0:01:42;2656;1909.6306068601584;false
0:01:43;2690;1906.9258292955647;false
0:01:44;2723;1903.7743004418262;false
0:01:45;2723;1903.4381898454747;false
0:01:46;2723;1903.4381898454747;false
0:01:47;2759;1918.6089650145773;false
0:01:48;2781;1931.5255579553636;false
0:01:49;2815;1927.9359430604982;false
