Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;1;null;false
0:00:03;91;2440.0227272727275;false
0:00:04;198;1210.9644970414201;false
0:00:05;280;925.3705179282869;false
0:00:06;369;845.6420118343195;false
0:00:07;493;681.7167019027485;false
0:00:08;616;607.1621621621622;false
0:00:09;752;564.5006877579092;false
0:00:10;902;507.8058690744921;false
0:00:11;1020;484.912;false
0:00:12;1199;458.4776632302405;false
0:00:13;1360;442.3373403456048;false
0:00:14;1546;434.63696369636966;false
0:00:15;1696;419.7087320574163;false
0:00:16;1864;419.3482532751092;false
0:00:17;2018;421.96840521564695;false
0:00:18;2226;412.56915377616014;false
0:00:19;2427;398.59950041631976;false
0:00:20;2694;382.4647147147147;false
0:00:21;2984;361.815415821501;false
0:00:22;3350;336.8546441495778;false
0:00:23;3756;312.9727345629511;false
0:00:24;4179;293.2800769971126;false
0:00:25;4675;272.6707500537288;false
0:00:26;5156;257.63654108920554;false
0:00:27;5667;242.90092165898616;false
0:00:28;6207;229.7315414507772;false
0:00:29;6801;216.59447888987305;false
0:00:30;7537;202.41320553780616;false
0:00:31;8323;189.00529865125242;false
0:00:32;9083;178.9318457969734;false
0:00:33;9888;169.1158950460946;false
0:00:34;10805;159.54501577872657;false
0:00:35;11743;150.8206002728513;false
0:00:36;12687;143.5968888186987;false
0:00:37;13682;136.63837881337332;false
0:00:38;14683;130.82018561484918;false
0:00:39;15821;124.4673541693028;false
0:00:40;16917;119.45785202298443;false
0:00:41;18002;114.89609522750028;false
0:00:42;19087;110.93529103303618;false
0:00:43;20251;107.13287474637502;false
0:00:44;21422;103.45891146928288;false
0:00:45;22595;100.34788582572467;false
0:00:46;23835;97.20727761670659;false
0:00:47;25043;94.45243712263586;false
0:00:48;26376;91.54675521821632;false
0:00:49;27661;89.0586468885673;false
0:00:50;28967;86.7816604451818;false
0:00:51;30304;84.60035019326703;false
0:00:52;31717;82.35193891395576;false
0:00:53;33240;80.0539946396844;false
0:00:54;34853;77.75372470216736;false
0:00:55;36388;75.83463527340741;false
0:00:56;38001;73.91567470767934;false
0:00:57;39663;72.05151102366177;false
0:00:58;41244;70.50789875997961;false
0:00:59;42846;69.00686675230644;false
0:01:00;44469;67.57937722179723;false
0:01:01;46036;66.35601582195949;false
0:01:02;47591;65.22762825904121;false
0:01:03;49233;64.05497632258195;false
0:01:04;50919;62.876772596928156;false
0:01:05;52604;61.805808071203074;false
0:01:06;54289;60.79571002100763;false
0:01:07;56034;59.80735435939565;false
0:01:08;57714;58.907057783325534;false
0:01:09;59399;58.05797931475929;false
0:01:10;61100;57.240158511822884;false
0:01:11;62818;56.47146247829619;false
0:01:12;64511;55.748084618009244;false
0:01:13;66170;55.077574346491694;false
0:01:14;67869;54.427017305934726;false
0:01:15;69567;53.80780236688092;false
0:01:16;71266;53.21129310707819;false
0:01:17;72975;52.63821388923153;false
0:01:18;74680;52.0867812320015;false
0:01:19;76390;51.585350201686836;false
0:01:20;78066;51.0964145672621;false
0:01:21;79802;50.61108952099186;false
0:01:22;81509;50.15358747146469;false
0:01:23;83197;49.71932039535387;false
0:01:24;84903;49.29572951640455;false
0:01:25;86624;48.899927240809824;false
0:01:26;88325;48.50436013590034;false
0:01:27;90011;48.1382394773101;false
0:01:28;91725;47.77400501581071;false
0:01:29;93424;47.43647402743422;false
0:01:30;95155;47.09745789440485;false
0:01:31;96850;46.76790029119597;false
0:01:32;98559;46.46099118026165;false
0:01:33;100237;46.174698374365065;false
0:01:34;101959;45.875727164817484;false
0:01:35;103645;45.60456273764259;false
0:01:36;105353;45.333048489854825;false
0:01:37;107018;45.089459467038054;false
0:01:38;108671;44.85537688349702;false
0:01:39;110313;44.63648316573118;false
0:01:40;112011;44.39614924360142;false
0:01:41;113654;44.17800540316974;false
0:01:42;115348;43.96393053159113;false
0:01:43;117024;43.75481422600579;false
0:01:44;118723;43.54260463705601;false
0:01:45;120416;43.33654493052153;false
0:01:46;122142;43.135994365643526;false
0:01:47;123814;42.9432056875101;false
0:01:48;125521;42.754201563483655;false
