stableTime;stableResponseTimeArithmeticAverage;stableResponseTimeStandardDeviation
#original;;
0:02:04;30.36219327248978;1.1221217780587769
0:02:31;32.0580695997062;2.092666476158593
0:02:27;32.01775458080193;1.7860429299448777
0:02:39;33.97481208979192;1.82421395120028
0:01:44;32.206145658076586;2.15772082201596
0:01:52;33.66220568097978;2.291086820261032
0:01:40;32.55331603490215;2.5804936487108896
0:02:23;31.913641310966995;1.597316365894703
0:02:43;30.79819290091699;1.278414485226464
0:02:23;31.913641310966995;1.597316365894703
#undertow4jenkins;;
0:01:59;28.096649731610352;1.4331971266404493
0:01:56;28.092319326925303;1.3940969279235758
0:01:53;29.81944635025709;1.9459172035735772
0:02:02;27.732141779854985;1.4106419236986019
0:01:59;28.134528057273013;1.1190412696755352
0:02:46;27.76583286922384;1.0157732250641283
0:02:39;27.681620918724736;1.111677635598131
0:01:54;29.097559709025;1.7187515227756676
0:01:59;27.747566424092117;1.3368746897546777
0:01:59;28.372153616755;1.659143414492137
