stableTime;stableResponseTimeArithmeticAverage;stableResponseTimeStandardDeviation
#original;;
0:01:44;1845.7804696320422;48.17598231952934
0:01:52;1886.1000838295179;58.539245726613416
0:01:40;1859.161423873893;47.75999124759799
0:01:29;1832.014413892096;41.88099762624436
0:01:28;1831.99255792583;38.67573150999051
0:01:44;1883.387392064699;61.085636863482826
0:01:45;1875.1041396164724;49.0292668747876
0:01:49;1925.2224945432606;60.707920940617505
0:02:08;2032.6023932059686;144.96020358270022
0:01:48;1882.5661754236082;59.30067927621375
#undertow4jenkins;;
0:01:44;1827.5860563692197;34.88035281355207
0:01:42;1827.9495335340923;41.18298618979545
0:01:36;1791.5315891354537;35.74483301712324
0:01:33;1798.201261952312;33.89495788764252
0:01:32;1782.4190172354354;42.37061139723617
0:01:41;1801.7106563961952;43.60358032186408
0:01:40;1797.9131597498051;38.67943528514203
0:01:25;1803.9197782123374;44.687201539804
0:01:40;1803.4709642707903;39.471067144066815
0:01:40;1862.8835410774097;60.90774927896754
