stableTime;stableResponseTimeArithmeticAverage;stableResponseTimeStandardDeviation
#original;;
0:00:12;19.921666120121774;0.08797172682063625
0:00:10;19.561240004129615;0.30008180038641985
0:00:05;19.69453702109725;0.40612854516188984
0:00:10;19.437935544183965;0.17073623217575842
0:00:16;20.029135842495414;0.30739966456590806
0:00:11;19.59144826685372;0.3146742101038779
0:00:11;19.5902010369382;0.09572442626763865
0:00:15;20.53312496613449;0.306360312407412
0:00:10;20.37794033894714;0.36345735994935646
0:00:09;20.530886340873224;0.23707308052345746
#undertow4jenkins;;
0:00:16;19.99174471396501;0.35216204748323315
0:00:15;20.148073390009927;0.3515419110640743
0:00:13;20.324527943292075;0.5611014980806598
0:00:17;19.638507433741477;0.10297352826148769
0:00:16;20.664337480002537;0.3829518920268004
0:00:16;19.955043602889887;0.4788285466754522
0:00:19;19.57227946210516;0.2561935325825239
0:00:13;20.24901988688408;0.25689537719894184
0:00:18;19.52694911892903;0.17594682874330742
0:00:16;19.75992393177449;0.3308235479358536
