Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;1;null;false
0:00:03;1;null;false
0:00:04;1;null;false
0:00:05;1;null;false
0:00:06;1;null;false
0:00:07;1;null;false
0:00:08;50;7727.35;false
0:00:09;50;7727.35;false
0:00:10;50;7727.35;false
0:00:11;78;7002.3859649122805;false
0:00:12;80;6500.2875;false
0:00:13;90;6436.710843373494;false
0:00:14;119;5670.612612612613;false
0:00:15;132;5407.504065040651;false
0:00:16;161;4835.7225806451615;false
0:00:17;180;4611.87134502924;false
0:00:18;203;4278.19095477387;false
0:00:19;222;4133.186046511628;false
0:00:20;247;3912.3909465020574;false
0:00:21;279;3727.289962825279;false
0:00:22;296;3594.102389078498;false
0:00:23;323;3488.003184713376;false
0:00:24;345;3375.5307917888563;false
0:00:25;373;3254.733153638814;false
0:00:26;407;3145.721105527638;false
0:00:27;439;3038.0881670533645;false
0:00:28;461;2962.3457330415754;false
0:00:29;496;2882.7254098360654;false
0:00:30;522;2820.357833655706;false
0:00:31;557;2758.6630036630036;false
0:00:32;581;2703.5729166666665;false
0:00:33;614;2662.4494195688226;false
0:00:34;637;2633.097288676236;false
0:00:35;670;2592.2560606060606;false
0:00:36;692;2551.6168359941944;false
0:00:37;727;2513.5298196948684;false
0:00:38;756;2482.992;false
0:00:39;786;2456.083762886598;false
0:00:40;818;2425.8180693069307;false
0:00:41;842;2397.07966706302;false
0:00:42;875;2373.576212471132;false
0:00:43;903;2350.0790645879733;false
0:00:44;934;2326.5694294940795;false
0:00:45;964;2306.853709508882;false
0:00:46;972;2306.7975206611573;false
0:00:47;1015;2305.4760479041915;false
0:00:48;1039;2294.023346303502;false
0:00:49;1061;2277.336802270577;false
0:00:50;1094;2257.6794871794873;false
0:00:51;1132;2241.307486631016;false
0:00:52;1150;2228.724738675958;false
0:00:53;1185;2211.497461928934;false
0:00:54;1222;2196.7032151690023;false
0:00:55;1251;2186.716129032258;false
0:00:56;1279;2174.7029156816393;false
0:00:57;1303;2161.331029185868;false
0:00:58;1339;2149.991741741742;false
0:00:59;1371;2140.679911699779;false
0:01:00;1392;2129.645578720345;false
0:01:01;1429;2119.5238764044943;false
0:01:02;1458;2111.936507936508;false
0:01:03;1480;2104.206220419202;false
0:01:04;1515;2094.0542686962276;false
0:01:05;1550;2084.143134715026;false
0:01:06;1577;2077.63949044586;false
0:01:07;1605;2069.9325;false
0:01:08;1646;2060.4008567931455;false
0:01:09;1670;2054.1432871763996;false
0:01:10;1703;2046.2178276269185;false
0:01:11;1725;2038.713043478261;false
0:01:12;1757;2032.6197263397949;false
0:01:13;1790;2025.6973094170403;false
0:01:14;1822;2018.62960924601;false
0:01:15;1849;2013.2250542299348;false
0:01:16;1885;2006.3588924387645;false
0:01:17;1902;2002.1298633017875;false
0:01:18;1945;1995.203818369453;false
0:01:19;1974;1989.6178861788617;false
0:01:20;2008;1984.6029043565347;false
0:01:21;2033;1979.3090192212912;false
0:01:22;2068;1974.7043689320387;false
0:01:23;2095;1969.8358066060316;false
0:01:24;2128;1965.7352524775838;false
0:01:25;2155;1961.379246161005;false
0:01:26;2184;1957.0955882352941;false
0:01:27;2216;1953.2031674208145;false
0:01:28;2245;1948.6678571428572;false
0:01:29;2275;1944.3343612334802;false
0:01:30;2315;1940.0642919200695;false
0:01:31;2341;1936.2480719794344;false
0:01:32;2369;1933.1824724809483;false
0:01:33;2395;1929.8023401587966;false
0:01:34;2428;1926.0664191419141;false
0:01:35;2464;1922.5599510603588;false
0:01:36;2486;1919.290660225443;false
0:01:37;2520;1915.5123211446742;false
0:01:38;2552;1912.9650157232704;false
0:01:39;2581;1909.4776699029126;false
0:01:40;2612;1906.238405519356;false
0:01:41;2644;1903.398861480076;false
0:01:42;2678;1900.1737987987988;false
0:01:43;2699;1897.286827458256;false
0:01:44;2735;1894.2124542124543;false
0:01:45;2765;1891.7315923104825;false
0:01:46;2796;1890.0398706896551;false
0:01:47;2821;1887.7651865008881;false
0:01:48;2854;1885.3102843102843;false
0:01:49;2880;1883.1576749042813;false
