Time;Iterations;Result;warmUp
0:00:01;1;null;false
0:00:02;1;null;false
0:00:03;1;null;false
0:00:04;1;null;false
0:00:05;1;null;false
0:00:06;1;null;false
0:00:07;1;null;false
0:00:08;48;7725.925;false
0:00:09;48;7725.925;false
0:00:10;48;7725.925;false
0:00:11;48;7725.925;false
0:00:12;79;6999.128205128205;false
0:00:13;80;6947.05;false
0:00:14;94;6887.202380952381;false
0:00:15;118;6246.008928571428;false
0:00:16;121;6077.808333333333;false
0:00:17;144;5965.7322834645665;false
0:00:18;157;5568.6556291390725;false
0:00:19;173;5401.321212121212;false
0:00:20;193;5198.912087912088;false
0:00:21;208;4936.951219512195;false
0:00:22;236;4665.626086956522;false
0:00:23;263;4484.421686746988;false
0:00:24;278;4271.134545454545;false
0:00:25;301;4118.4527027027025;false
0:00:26;333;3954.6490683229813;false
0:00:27;355;3828.5289017341042;false
0:00:28;386;3702.435483870968;false
0:00:29;403;3587.9223057644112;false
0:00:30;430;3488.3924349881795;false
0:00:31;456;3371.863436123348;false
0:00:32;488;3298.543933054393;false
0:00:33;501;3252.4245472837024;false
0:00:34;533;3183.685009487666;false
0:00:35;572;3119.9747292418774;false
0:00:36;587;3064.077720207254;false
0:00:37;610;3008.986820428336;false
0:00:38;646;2949.192488262911;false
0:00:39;673;2903.457142857143;false
0:00:40;702;2861.235890014472;false
0:00:41;731;2808.888275862069;false
0:00:42;762;2770.2689747003997;false
0:00:43;788;2731.8476312419975;false
0:00:44;817;2700.6592317224286;false
0:00:45;837;2669.8624401913876;false
0:00:46;872;2633.288837744534;false
0:00:47;909;2604.3634336677815;false
0:00:48;932;2575.025917926566;false
0:00:49;964;2545.984309623431;false
0:00:50;996;2518.936105476673;false
0:00:51;1006;2513.9909456740443;false
0:00:52;1043;2511.101364522417;false
0:00:53;1059;2496.696682464455;false
0:00:54;1090;2475.401291512915;false
0:00:55;1122;2451.229185317816;false
0:00:56;1152;2433.720909886264;false
0:00:57;1182;2414.3654173764908;false
0:00:58;1205;2397.5091514143096;false
0:00:59;1244;2378.2842105263157;false
0:01:00;1265;2364.0324623911324;false
0:01:01;1295;2350.4212567882078;false
0:01:02;1331;2333.358276643991;false
0:01:03;1357;2319.279792746114;false
0:01:04;1379;2307.3616557734204;false
0:01:05;1413;2294.278525868179;false
0:01:06;1444;2284.5340751043113;false
0:01:07;1474;2277.099863201094;false
0:01:08;1508;2267.696847753186;false
0:01:09;1527;2257.0991464215363;false
0:01:10;1553;2248.9631544925664;false
0:01:11;1580;2240.019035532995;false
0:01:12;1610;2230.540136901058;false
0:01:13;1646;2221.598410757946;false
0:01:14;1671;2213.3914612146723;false
0:01:15;1702;2204.7075471698113;false
0:01:16;1735;2197.279488669378;false
0:01:17;1754;2192.186392224128;false
0:01:18;1787;2185.3823198198197;false
0:01:19;1808;2177.325221238938;false
0:01:20;1850;2168.866231647635;false
0:01:21;1874;2161.79474812433;false
0:01:22;1906;2155.4878563885954;false
0:01:23;1933;2148.6204569055035;false
0:01:24;1965;2141.3716768916156;false
0:01:25;1993;2134.797679112008;false
0:01:26;2020;2127.8624627606755;false
0:01:27;2047;2122.3454011741683;false
0:01:28;2078;2117.2779120347996;false
0:01:29;2105;2109.9049429657794;false
0:01:30;2144;2103.0675105485234;false
0:01:31;2172;2097.586031452359;false
0:01:32;2198;2091.496353691887;false
0:01:33;2229;2086.488068437641;false
0:01:34;2262;2081.2815275310836;false
0:01:35;2289;2075.1773981603155;false
0:01:36;2317;2069.398616515348;false
0:01:37;2346;2064.4829351535836;false
0:01:38;2377;2059.1376842105265;false
0:01:39;2393;2057.256711409396;false
0:01:40;2393;2060.5830196570473;false
0:01:41;2434;2072.0992145514674;false
0:01:42;2453;2076.3608163265308;false
0:01:43;2484;2071.0882352941176;false
0:01:44;2519;2066.373556352051;false
0:01:45;2540;2062.2466509062256;false
0:01:46;2575;2056.4692846034213;false
0:01:47;2612;2051.884704073789;false
0:01:48;2639;2048.706732597946;false
0:01:49;2666;2045.0312264860797;false
0:01:50;2694;2040.2640386760877;false
